Timestamp;4 Byte float RTT Data
83700;0.664125
83800;0.664348
83900;0.664569
84000;0.665072
84100;0.665290
84200;0.665222
84300;0.665722
84400;0.665935
84500;0.666146
84600;0.666070
84700;0.666565
84800;0.666484
84900;0.666689
85000;0.666892
85100;0.667093
85200;0.667293
85300;0.667491
85400;0.667688
85500;0.667882
85600;0.668075
85700;0.668267
85800;0.668457
85900;0.668936
86000;0.668831
86100;0.669016
86200;0.669199
86300;0.669381
86400;0.669853
86500;0.669738
86600;0.669915
86700;0.670090
86800;0.670263
86900;0.670434
87000;0.670604
87100;0.670772
87200;0.670938
87300;0.671103
87400;0.671266
87500;0.671427
87600;0.671587
87700;0.671744
87800;0.671901
87900;0.672055
88000;0.672208
88100;0.672359
88200;0.672806
88300;0.672656
88400;0.672802
88500;0.672946
88600;0.673089
88700;0.673230
88800;0.673369
88900;0.673507
89000;0.673942
89100;0.673776
89200;0.673909
89300;0.674340
89400;0.674469
89500;0.674295
89600;0.674421
89700;0.674544
89800;0.674667
89900;0.674787
90000;0.675207
90100;0.675324
90200;0.675137
90300;0.675552
90400;0.675664
90500;0.675472
90600;0.675883
90700;0.675686
90800;0.675791
90900;0.676198
91000;0.675996
91100;0.676095
91200;0.676497
91300;0.676289
91400;0.676383
91500;0.676476
91600;0.676566
91700;0.676960
91800;0.676743
91900;0.676828
92000;0.676912
92100;0.676994
92200;0.677074
92300;0.677153
92400;0.677230
92500;0.677611
92600;0.677378
92700;0.677450
92800;0.677520
92900;0.677894
93000;0.677960
93100;0.677719
93200;0.677781
93300;0.678149
93400;0.677902
93500;0.678266
93600;0.678015
93700;0.678069
93800;0.678121
93900;0.678172
94000;0.678221
94100;0.678268
94200;0.678313
94300;0.678356
94400;0.678092
94500;0.678746
94600;0.678476
94700;0.678820
94800;0.678547
94900;0.678580
95000;0.678611
95100;0.678641
95200;0.678977
95300;0.678694
95400;0.679027
95500;0.678741
95600;0.678761
95700;0.678780
95800;0.678797
95900;0.679121
96000;0.678826
96100;0.678838
96200;0.678848
96300;0.678856
96400;0.678862
96500;0.678867
96600;0.678870
96700;0.678871
96800;0.678871
96900;0.678868
97000;0.679172
97100;0.678858
97200;0.678850
97300;0.678841
97400;0.678830
97500;0.678817
97600;0.679110
97700;0.678786
97800;0.678767
97900;0.678747
98000;0.678725
98100;0.678395
98200;0.678677
98300;0.678650
98400;0.678621
98500;0.678590
98600;0.678866
98700;0.678831
98800;0.678488
98900;0.678450
99000;0.678411
99100;0.678369
99200;0.678326
99300;0.678282
99400;0.678235
99500;0.678187
99600;0.678137
99700;0.678393
99800;0.678339
99900;0.677977
100000;0.677920
100100;0.677861
100200;0.677800
100300;0.677738
100400;0.677674
100500;0.677915
100600;0.677541
100700;0.677472
100800;0.677706
100900;0.677023
101000;0.677253
101100;0.677177
101200;0.677099
101300;0.677324
101400;0.677243
101500;0.676854
101600;0.676769
101700;0.676682
101800;0.676899
101900;0.676808
102000;0.676412
102100;0.676318
102200;0.675920
102300;0.676125
102400;0.676330
102500;0.675926
102600;0.675823
102700;0.675719
102800;0.675613
102900;0.675808
103000;0.675699
103100;0.675587
103200;0.675474
103300;0.675359
103400;0.675243
103500;0.675125
103600;0.675005
103700;0.674582
103800;0.674459
103900;0.674635
104000;0.674208
104100;0.674379
104200;0.673949
104300;0.673817
104400;0.673684
104500;0.673549
104600;0.673412
104700;0.673273
104800;0.673133
104900;0.672991
105000;0.672847
105100;0.672701
105200;0.672852
105300;0.672405
105400;0.672255
105500;0.672103
105600;0.671948
105700;0.671793
105800;0.671635
105900;0.671477
106000;0.671316
106100;0.671153
106200;0.671284
106300;0.670823
106400;0.670656
106500;0.670487
106600;0.670316
106700;0.670143
106800;0.669969
106900;0.669793
107000;0.669908
107100;0.669436
107200;0.669255
107300;0.669073
107400;0.668889
107500;0.668702
107600;0.668515
107700;0.668326
107800;0.668135
107900;0.667942
108000;0.667748
108100;0.667552
108200;0.667643
108300;0.667155
108400;0.667242
108500;0.666752
108600;0.666548
108700;0.666342
108800;0.666134
108900;0.666211
109000;0.665715
109100;0.665502
109200;0.665004
109300;0.665073
109400;0.664856
109500;0.664637
109600;0.664416
109700;0.664194
109800;0.664253
109900;0.664027
110000;0.663518
110100;0.663289
110200;0.663059
110300;0.662827
110400;0.662874
110500;0.662359
110600;0.662122
110700;0.661884
110800;0.661644
110900;0.661403
111000;0.661160
111100;0.660915
111200;0.660946
111300;0.660698
111400;0.660448
111500;0.660197
111600;0.659669
111700;0.659415
111800;0.659159
111900;0.658629
112000;0.658370
112100;0.658382
112200;0.658121
112300;0.657857
112400;0.657592
112500;0.657325
112600;0.657057
112700;0.656788
112800;0.656516
112900;0.656513
113000;0.655969
113100;0.655693
113200;0.655416
113300;0.655137
113400;0.654755
113500;0.653911
113600;0.653066
113700;0.652219
113800;0.651370
113900;0.650521
114000;0.649669
114100;0.648816
114200;0.647961
114300;0.647106
114400;0.646248
114500;0.645390
114600;0.644530
114700;0.643668
114800;0.642805
114900;0.641941
115000;0.641075
115100;0.640207
115200;0.639339
115300;0.638469
115400;0.637598
115500;0.636725
115600;0.635850
115700;0.634975
115800;0.634330
115900;0.633220
116000;0.632341
116100;0.631460
116200;0.630578
116300;0.629695
116400;0.628811
116500;0.628145
116600;0.627037
116700;0.626149
116800;0.625260
116900;0.624583
117000;0.623477
117100;0.622583
117200;0.621689
117300;0.620793
117400;0.620103
117500;0.618999
117600;0.618099
117700;0.617199
117800;0.616498
117900;0.615594
118000;0.614688
118100;0.613586
118200;0.612680
118300;0.611772
118400;0.611055
118500;0.609955
118600;0.609044
118700;0.608319
118800;0.607405
118900;0.606306
119000;0.605392
119100;0.604476
119200;0.603559
119300;0.602641
119400;0.601722
119500;0.600976
119600;0.599882
119700;0.598960
119800;0.597869
119900;0.597113
120000;0.596188
120100;0.595427
120200;0.594336
120300;0.593408
120400;0.592640
120500;0.591551
120600;0.590620
120700;0.589844
120800;0.588757
120900;0.587976
121000;0.586891
121100;0.585808
121200;0.585020
121300;0.584229
121400;0.583147
121500;0.582209
121600;0.581270
121700;0.580330
121800;0.579526
121900;0.578449
122000;0.577507
122100;0.576564
122200;0.575621
122300;0.574548
122400;0.573731
122500;0.572911
122600;0.571839
122700;0.570892
122800;0.570065
122900;0.568996
123000;0.568046
123100;0.567097
123200;0.566146
123300;0.565195
123400;0.564243
